geneID,Gene_name,Chr,Start,End,Gene_length
FBgn0031081,Nep3,X,19961297,19969323,8026
FBgn0031085,CG9570,X,20051294,20052519,1225
FBgn0062565,Or19b,X,20094398,20095767,1369
FBgn0031088,CG15322,X,20133579,20138878,5299
FBgn0041626,Or19a,X,20141819,20143188,1369
FBgn0031080,CG12655,X,19958393,19959403,1010
FBgn0053217,CG33217,3L,23126025,23132209,6184
FBgn0052350,Vps11,3L,23147656,23150499,2843
FBgn0024733,RpL10,3L,23093190,23095471,2281
FBgn0040372,G9a,X,245978,254650,8672
FBgn0000316,cin,X,255674,258469,2795
FBgn0024989,CG3777,X,279703,350504,70801
FBgn0040371,CG12470,X,307684,308935,1251
FBgn0029521,Or1a,X,315123,316566,1443
FBgn0004034,y,X,356509,361245,4736
FBgn0029522,CG13373,X,476984,478191,1207
FBgn0052817,CG32817,X,479066,480166,1100
FBgn0029524,CG3176,X,481862,482768,906
FBgn0023536,CG3156,X,487878,490725,2847
FBgn0023534,CG17778,X,494614,496369,1755
FBgn0023535,arg,X,509435,528028,18593
FBgn0023537,CG17896,X,490787,493495,2708
FBgn0029525,CG18273,X,482777,487581,4804
FBgn0029523,CR18275,X,476857,479309,2452
FBgn0010019,Cyp4g1,X,467057,469335,2278
FBgn0052816,CG32816,X,316576,470726,154150
FBgn0040370,CG13375,X,283186,294962,11776
FBgn0040373,CG3038,X,243954,245856,1902
FBgn0000108,Appl,X,530501,579044,48543
FBgn0025640,CG13369,X,623468,624765,1297
FBgn0025635,Hinfp,X,625542,628016,2474
FBgn0001341,Mybbp1A,X,629773,633633,3860
FBgn0003575,su(sable),X,635890,643760,7870
FBgn0025634,CG13367,X,644761,646386,1625
FBgn0025638,Roc1a,X,647304,648597,1293
FBgn0040383,CG5254,X,750347,758719,8372
FBgn0040382,CG5273,X,759594,761939,2345
FBgn0027343,fz3,X,769945,784222,14277
FBgn0025621,CG16989,X,793147,797061,3914
FBgn0026874,CG13358,X,803424,804921,1497
FBgn0015799,Rbf,X,797090,801479,4389
FBgn0025620,CG13360,X,787855,790089,2234
FBgn0015288,RpL22,X,762560,765130,2570
FBgn0029531,CG13362,X,749241,751301,2060
FBgn0025639,Hmt4-20,X,648483,656033,7550
FBgn0002579,RpL36,X,628338,629483,1145
FBgn0026879,CG13364,X,624757,625203,446
FBgn0029529,CG13365,X,620717,621215,498
FBgn0025633,spdi,X,585081,620195,35114
FBgn0040339,MED22,X,928139,928860,721
FBgn0052815,CG32815,X,932466,939424,6958
FBgn0040340,TRAM,X,935232,937822,2590
FBgn0040347,mus81,X,941075,943229,2154
FBgn0040337,CG3021,X,1026791,1028290,1499
FBgn0040398,CG14629,X,1051525,1052631,1106
FBgn0040397,CG3655,X,1073041,1134896,61855
FBgn0026143,Cdc45,X,1028291,1030556,2265
FBgn0040351,CG11638,X,1013984,1026703,12719
FBgn0040349,CG3699,X,946662,947500,838
FBgn0040348,CG3703,X,942474,945773,3299
FBgn0040346,CG3704,X,939170,940805,1635
FBgn0040342,CG3706,X,930931,932475,1544
FBgn0040343,CG3713,X,846171,847157,986
FBgn0052814,CG32814,X,1019795,1026700,6905
FBgn0040364,CG11378,X,1170828,1173797,2969
FBgn0040361,CG14627,X,1181620,1183502,1882
FBgn0040360,CG14626,X,1184778,1188585,3807
FBgn0040359,CG11380,X,1191308,1196660,5352
FBgn0040358,CG14625,X,1199546,1203157,3611
FBgn0040367,CG11382,X,1209970,1211853,1883
FBgn0025642,CG32812,X,1287290,1288945,1655
FBgn0004650,fs(1)N,X,1322513,1329438,6925
FBgn0024362,Naa30A,X,1342106,1344770,2664
FBgn0024361,Tsp2A,X,1346553,1348143,1590
FBgn0024364,CG11417,X,1354014,1356473,2459
FBgn0029573,CG14770,X,1369249,1370176,927
FBgn0024987,ssx,X,1370580,1375257,4677
FBgn0023169,AMPKalpha,X,1375536,1378896,3360
FBgn0052813,CG32813,X,1380914,1392843,11929
FBgn0024985,Rilpl,X,1393054,1397337,4283
FBgn0027794,Lrpprc2,X,1457175,1460617,3442
FBgn0027795,CG14785,X,1455215,1457054,1839
FBgn0024986,CG3719,X,1378885,1380480,1595
FBgn0000826,png,X,1356488,1357601,1113
